postcode,lat,lon,postcode4,localauthorityarea,registeredcompanynamesitename,sitecompanyname,date
AB42 1BP,57.503031,-1.770058,AB42,Aberdeenshire,Alisrose Limited. Alisrose North Base Keith Inch Peterhead,ALISROSE NORTH BASE KEITH INSCH PETERHEAD AB42 1BP,Jun-18
AB11 5AN,57.148152,-2.085417,AB11,Aberdeen City,Scotoil Services Limited. Scotoil Waste Transfer Facility,Miller Street Aberdeen AB11 5AN,Jun-18
AB12 3LT,57.121605,-2.058933,AB12,Aberdeen City,Kelda Water Services (Grampian) Ltd. Nigg STW Aberdeen,Coast Road Nigg Bay Aberdeen AB12 3LT,Jun-18
AB12 4YF,57.069680,-2.154329,AB12,Aberdeenshire,Aberdeenshire Council. Portlethen Household Recycling Centre,Badentory Industrial Estate Portlethen AB12 4YF,Jun-18
AB13 0AB,57.101498,-2.246060,AB13,Aberdeen City,Kippie Lodge,,Jun-18
AB15 8UN,57.152357,-2.222028,AB15,Aberdeen City,Kingswells Park and Ride,"Kingswells Causeway, Kingswells",Jun-18
AB16 7GN,57.161061,-2.142080,AB16,Aberdeen City,N Anderson Drive,,Jun-18
AB23 8BT,57.219205,-2.072261,AB23,Aberdeenshire,Northburn Oils Limited. Northburn Oils Ltd Aberdeen,NORTHBURN OILS LIMITED BLACKDOG CENTRE BRIDGE OF DON ABERDEEN AB23 8BT,Jun-18
AB23 8YY,57.237616,-2.066323,AB23,Aberdeenshire,Easter Hatton Environmental (Waste Away) Ltd. Easter Hatton Environment Balmedie Aberdeen,Easter Hatton Farm Balmedie Aberdeenshire AB23 8YY,Jun-18
AB24 3SW,57.164470,-2.100328,AB24,Aberdeen City,Kings College ,,Jun-18
AB25 2ZD,57.156441,-2.136904,AB25,Aberdeen City,Polwarth Building,"Polwarth Building, Forresterhill, Aberdeen",Jun-18
AB30 1NN,56.874096,-2.411682,AB30,Aberdeenshire,Powar Developments Ltd. MBM Warehouse Fordoun Laurencekirk,FORDOUN FORDOUN LAURENCEKIRK AB30 1NN,Jun-18
AB41 8QR,57.370238,-2.047540,AB41,Aberdeenshire,ABERDEENSHIRE COUNCIL. Ellon Waste Transfer Station Ellon,Ellon Waste Transfer Station Balmacassie Ellon AB41 8QR,Jun-18
AB42 3BZ,57.478137,-1.788340,AB42,Aberdeenshire,SSE Generation Limited. SSE Gen Peterhead Power Station Peterhead,Boddam Peterhead Aberdeenshire AB42 3BZ,Jun-18
AB42 3JF,57.491293,-1.814921,AB42,Aberdeenshire,Total Waste Management Alliance Plc. TWMA - Dales Ind Est Peterhead,Unit 12 Dales Industrial Estate Peterhead Aberdeenshire AB42 3JF,Jun-18
AB42 4HY,57.563278,-1.983973,AB42,Aberdeenshire,Aberdeenshire Council. Kirkhill Waste Transfer Station,Kininmonth Mintlaw Peterhead Aberdeenshire AB42 4HY,Jun-18
AB42 6WJ,57.502215,-1.808008,AB42,Aberdeenshire,Shell UK Limited. Shell UK Ltd St Fergus Gas Plant,St Fergus Gas Plant Peterhead Aberdeenshire AB42 6WJ,Jun-18
AB44 1TX,57.670321,-2.497749,AB44,Aberdeenshire,Macduff Shipyards Ltd. Macduff Shipyards,MACDUFF SLIPWAY & SPENDING BEACH THE HARBOUR MACDUFF AB44 1TX,Jun-18
AB45 3TX,57.620679,-2.575099,AB45,Aberdeenshire,Karro Food Ltd. Brydock Mill Alvah Banff,Brydock Mill Kirktown of Alvah Banff Aberdeenshire AB45 3TX,Jun-18
AB51 4TL,57.290237,-2.387984,AB51,Aberdeenshire,Scotbeef Limited. Scot Beef Inverurie,North Street INVERURIE Aberdeenshire AB51 4TL,Jun-18
AB51 5AU,57.369128,-2.446642,AB51,Aberdeenshire,Inverurie Skip Hire Limited. Causewayfold Meikle Wartle Inverurie,CAUSEWAYFOLD MEIKLE WARTLE OLDMELDRUM INVERURIE AB51 5AU,Jun-18
AB53 6YH,57.511573,-2.226233,AB53,Aberdeenshire,Keenan (Recycling) Ltd. Keenans Hillhead of Auchreddie New Deer,Hillhead of Auchreddie New Deer Turriff AB53 6YH,Jun-18
AB54 8SX,57.445222,-2.799432,AB54,Aberdeenshire,Aberdeenshire Council. Steven Road Transfer Station,Steven Road Huntly AB54 8SX,Jun-18
